uuid,nome,cliente,regiao,status
7ebb7899-1f53-4b7f-b583-6aa6ff6e5185,EDIFÍCIO THE METROPOLITAN,EDIFÍCIO THE METROPOLITAN,CENTRO,ativo
2c96fbc2-3978-41ea-8e20-b6fac9cb8f14,ESTANCIA ALTO DA SERRA,ESTANCIA ALTO DA SERRA,INTERIOR,ativo
6ba5f664-2693-33e3-08d6-0dd3c293282b,ESTÂNCIA,ESTÂNCIA,REGIÃO PADRÃO,inativo
e7564478-7f90-778c-66cf-9ebf78f0c2aa,Ed Coronel Diogo,Ed Coronel Diogo,POSTOS DA GAP,inativo
277883ea-d9e8-d05e-63d5-031cbff0ae42,Ed. Double Space - São Paulo,Ed. Double Space,POSTOS DA GAP,inativo
95725fb3-82bf-877b-bcc4-adcfe0e0b7da,Ed. Double Space - São Paulo.,Ed. Double Space.,POSTOS DA GAP,inativo
3c8582eb-e158-b07d-0a16-2e6a555a2353,Ed. Double Space - São Paulo..,Ed. Double Space..,POSTOS DA GAP,inativo
d9e737e6-20da-75a1-20fc-15d6aec5d0d7,Ed. Lucia - São Paulo,Ed. Lucia,POSTOS DA GAP,inativo
60dc2fac-8ed7-a690-0b8a-1bce8c6512f2,Ed. Lucia - São Paulo.,Ed. Lucia..,POSTOS DA GAP,inativo
f721a353-32ad-abef-a48c-9777039f75f9,Ed. Maria Do Rosário - São Paulo,Ed. Maria Do Rosário,POSTOS DA GAP,inativo
fb69a3a5-1edc-48cf-98af-554f49e8b8a1,Edifício São José,EDIFÍCIO SÃO JOSÉ,POSTOS DA GAP,inativo
53572200-215d-b23f-4ae4-a0abfa9c3897,Estancia - Mairiporã,Estancia,MAIRIPORÃ,inativo
c38a50d2-a38b-4d7e-934a-7a8362b26abb,Estação de Tratamento,Estação de Tratamento,MAIRIPORÃ,inativo
94821115-7167-22a8-32ea-d3e44df740ce,FITAFER,Fittafer,INTERIOR,ativo
8f7901d3-c83f-445e-b1cd-797ec07d05f9,GAP POSTO NOVO,GAP POSTO NOVO,MAIRIPORÃ,inativo
85713601-3254-f130-37f4-0c8201dbaf3d,GBC,Condomínio GBC,REGIÃO PADRÃO,inativo
dffaf0e9-0b6a-bac1-643c-610427f07a88,GCM EXTERNA GAP,RONDA EXTERNA GCM,REGIÃO PADRÃO,inativo
613b4599-cb28-f6ae-660c-564ba11254bd,GENEBRA,Genébra,REGIÃO PADRÃO,inativo
02ff4efe-48ae-4f71-86d0-0d782f3c7d10,GINZA,Condomínio Ginza,POSTOS DA GAP,inativo
b933c24c-f4f8-42c2-a4e8-e17f06bef2c9,GPK,GPK ATIBAIA,INTERIOR,ativo
63bd1344-a67f-4608-a9b5-db9393781d8b,GPK 1,GPK ATIBAIA,ATIBAIA / FRANCO DA ROCHA / MAIRIPORÃ,inativo
a32cb873-0c12-4854-95ea-3182f6cb868f,GPK 2,GPK ATIBAIA,ATIBAIA / FRANCO DA ROCHA / MAIRIPORÃ,inativo
21c89055-7b5e-48d9-bb0a-fd9f3dbb5c26,GTM,Empresa GTM,FRANCO DA ROCHA,inativo
f771eaee-d075-4adc-973a-a7fac45bd441,GTM CENOGRAFIA LTDA,GTM CENOGRAFIA LTDA,INTERIOR,ativo
20f54ab1-406a-4332-8672-b027286cc35f,Gap teste,Base GAP,POSTOS DA GAP,inativo
de6fb5de-4e69-4a2c-ab70-7bbdc5df2b45,HAUS MITRE BROOKLIN,HAUS MITRE,ZONA SUL,ativo
c40073dd-16a5-ace6-421b-39fd140f3989,HILTON,Estacionamento Hotel Hilton,ZONA OESTE,inativo
7697f772-9947-4107-bb6e-e613ecbe6133,Haus Mitre,Haus Mitre,POSTOS DA GAP,inativo
17ebab62-114d-42ea-9c19-aed8fed1c50d,Hilton,Estacionamento Hotel Hilton,POSTOS DA GAP,inativo
d1645613-c0ba-4ee5-9736-b0a530d9c52f,IMAGE,Condomínio Image,POSTOS DA GAP,inativo
c4d0a7d1-f08e-4cb2-863c-28b779290651,Ilha Bela,Ilha Bela,POSTOS DA GAP,inativo
c69a48bc-a0d3-a6f8-b765-c896064125d8,In Panamby,In Panamby,POSTOS DA GAP,inativo
c2d920bf-0511-450a-91ad-6ef8823a8f2b,In Parque Belem Klabin,In Parque Belem Klabin,POSTOS DA GAP,inativo
a5af105e-a12d-98ee-884a-e74e4a8542a7,JECEL,Jecel,INTERIOR,ativo
772a2618-9f60-aeec-fbcf-9e60cbf6b21e,JotaeMe Fitafer - Franco da Rocha,JotaeMe Fitafer,REGIÃO PADRÃO,inativo
26f1cd5f-ac1b-427f-a26d-ea9345ee9c97,KLABIN - IN PARQUE BELÉM KLABIN,In Klabin,ZONA LESTE,ativo
e8dcb1c7-8d59-8879-6b2c-34ac8ef16479,Klabim -,Klabim,REGIÃO PADRÃO,inativo
c7fca757-67a0-58ce-4444-27408b2cc8a3,LIVING,Living Vila Guilherme,ZONA NORTE,ativo
04c6e8a9-9c95-486c-974c-b2434c69bf25,LIVING NEAR PACAEMBU,CONDOMÍNIO LIVING NEAR PACAEMBU,ZONA OESTE,ativo
6a4347cb-fe4e-e6db-b4f4-77fb235762bc,La Fontaine,Ed. La Fontaine,POSTOS DA GAP,inativo
993b45ab-7f21-4b38-b510-a9a83aa9458c,Local Teste - FindMe,Base GAP,POSTOS DA GAP,inativo
b3f80186-39c6-4a0b-9d8a-59cb4516f78e,MAISON,MAISON CHARTRES,POSTOS DA GAP,inativo
2a0e362b-e20d-4b90-8e69-0a32230706df,MANSÃO DO BUTANTÃ,Mansão do Butantã,ZONA OESTE,ativo
b7d72036-9017-40ef-9477-784b8008f0a8,MANSÃO RIMINI,Condominio Rimini,POSTOS DA GAP,inativo
5ef873ae-a1a0-4242-99cc-293ec32f63c4,MARCIA MARIA,MARCIA MARIA,POSTOS DA GAP,inativo
9dc9d1b0-8f30-d892-38da-4d54635b2d15,MARIA DO ROSÁRIO,MARIA DO ROSÁRIO,ZONA NORTE,ativo
341ffd1f-03db-4bc9-a71a-63b5e6f1b4c1,MAURIZIO,MAURIZIO,INTERIOR,ativo
0facbb47-5e30-4c6a-b23a-a3ed58914588,MIRANTE DO VALE,Mirante,CENTRO,ativo
93d859f3-dab1-4251-ae6a-2d89f111ace3,MIRANTE JAGUARÉ,MIRANTE JAGUARÉ,ZONA OESTE,ativo
c0101e4c-567b-49d4-8d57-c4d44a3a11cc,MSK PAULISTA,MSK PAULISTA,POSTOS DA GAP,inativo
6607580e-1fcc-4173-8131-8ac21d114c6d,Maria do Rosario 1,MARIA DO ROSÁRIO,POSTOS DA GAP,inativo
a1d35686-412d-4f56-b8b2-fd75aa298d0c,Mondial - GAP Park,Mondial - GAP Park,São Bernardo,inativo
147f83cf-5481-4f7e-925d-716b7dfcf312,Mondial Home - São Bernardo,Mondial Home- São Bernardo,São Bernardo,inativo
da3ba724-f2da-476e-bbde-a0cc3ac61483,Mondial Office - São Bernardo,Mondial Office-São Bernardo,São Bernardo,inativo
0b35a06b-f71b-4a45-b44d-0c9e9cd40cc6,NEW STUDIO PINHEIROS,New Studio,POSTOS DA GAP,inativo
20fb2baf-9d5b-45b3-b015-ec856adc20c0,Neo Offices,Neo Offices,POSTOS DA GAP,inativo
94cf7bc1-29ad-41b0-aa0d-36cf31daf712,ON BELEM,On Belém View,POSTOS DA GAP,inativo
cf14d7f7-4a80-b36f-8d9b-72b89d179572,OUTLET ATIBAIA,Outlet,INTERIOR,ativo
3be1cfb2-de59-b3f3-7e98-48f42da0ecab,PANAMBY - IN PARQUE BELEM PANAMBY,IN Belem Panamby,ZONA LESTE,ativo
330926ec-78d8-47d2-9ed0-a1a235b1a295,PARQUE MORUMBI,Real Parque Morumbi,POSTOS DA GAP,inativo
df7bca56-c7a6-94a1-6442-5e5152a457c0,PERDIZES - IN PARQUE BELEM PERDIZES,In Perdizes,ZONA LESTE,ativo
244dec5d-672b-4687-bac6-8917c5f942c1,PLAENGE - Vila Madalena,Plaenge,SUL,inativo
2c840001-700e-44db-9e9d-79ddedddcd88,PLAENGE 1,Plaenge -Moema,POSTOS DA GAP,inativo
be67189a-5c67-4210-b1da-826f9ca2fbe5,PLAENGE MACUCO,Plaenge -Moema,POSTOS DA GAP,inativo
a3089ef9-c432-4e21-8661-3d887e10a8e7,PLATINA PATRIANI,PLATINA PATRIANI,ZONA LESTE,ativo
47452bcc-a441-756f-a882-c9b32056d2fc,POSTO 1,Cond Villa São Paulo Familly Club,REGIÃO PADRÃO,inativo
74f867f6-8065-e23d-1eb6-7066832c3c46,POSTO-VILLA SÃO PAULO,Cond Villa São Paulo Familly Club,REGIÃO PADRÃO,inativo
211e108d-e7bf-4577-917b-3d6f9708aa7a,Parque Colonial,Parque Colonial,Interior,inativo
ef8745ec-8597-4283-bb1c-ee1f5cd1d4a9,Parque Morumbi,Parque Morumbi,sul,inativo
b032d96f-3b8d-0aa3-06c7-b13f46823648,Pateo Klabin,Pateo Klabin,POSTOS DA GAP,inativo
53cac03d-8f06-4c2e-9184-bd8e54d92185,Plaenge,Plaenge,POSTOS DA GAP,inativo
eeb61a59-9070-442b-b651-7ce9c135de54,Plaenge Vila Madalena,Plaenge,POSTOS DA GAP,inativo
eabbd218-1bb8-6490-bd81-f11938c42d68,Pq Morumbi,Pq Morumbi,POSTOS DA GAP,inativo
6a42cf3d-ffdc-0de1-10d3-d91b3f539e50,QUADRA Ó,ESTÂNCIA,REGIÃO PADRÃO,inativo
9efb8af9-4f91-2828-03f0-3c8ba977ee77,Quartier Klabin,Quartier Klabin,POSTOS DA GAP,inativo
cb5c9ea7-6ec8-42f6-94d0-78812bd29212,RESERVA DO ALTO,RESERVA DO ALTO,ZONA LESTE,ativo
64d32dc4-fcc7-42ee-9926-464c6d10bc8a,RESIDENCIAL CANAÃ I,Residencial Canaã I,INTERIOR,ativo
5e40c026-6bac-4422-85e3-3517984ba207,RETRATO PAULISTA,CONDOMÍNIO RETRATO PAULISTA,CENTRO,ativo
8416ad17-76a6-e5ee-8458-28d2d4b3aa3f,RONDA EXTERNA GCM,RONDA EXTERNA GCM,REGIÃO PADRÃO,inativo
